col1,FieldID,ra,dec,mtot_all,ntns,mtot,sfrtot,ngal,lum,BGLT_orig,mindist,selected
511,512,87.75,-70.32684,6.32379373568E11,0.0,9.32980195328E11,45.300262451171875,9.0,8.10890752818423E-5,false,54.6232,true
517,518,114.75,-70.32684,1.57517306368E11,0.0,2.68212895744E11,15.218696594238281,5.0,1.3645106728452626E-4,false,20.0447,true
559,560,303.75,-70.32684,5.5121087488E10,0.0,5.04688279552E11,14.1055908203125,9.0,8.659624206220002E-5,false,50.0205,true
599,600,113.02325,-68.75299,1.90001075776E11,0.0,2.81154879488E11,25.626728057861328,6.0,1.434997311978381E-4,false,16.2475,true
928,929,281.35919,-64.03143,2.2111653875220234E12,0.0,9.69286483968E11,54.75589370727539,20.0,3.57927943247325E-5,false,43.9956,true
930,931,288.34949,-64.03143,7.5598345216E10,0.0,1.91066243072E11,6.056914329528809,4.0,6.646626350627612E-4,false,9.2016,true
970,971,62.75229,-62.45758,5.51335724544E11,0.0,3.97115817984E11,21.687591552734375,12.0,1.3471615515386255E-4,false,12.7315,true
971,972,66.05505,-62.45758,3.0916029696E11,0.9049566940952842,1.20732991488E11,10.698225021362305,6.0,1.2006794874984007E-4,false,12.7315,true
995,996,145.32111,-62.45758,2.40692827136E11,0.0,1.39697504256E11,5.184016704559326,5.0,1.314066596104094E-4,false,35.1448,true
1029,1030,257.61469,-62.45758,1.13942864384E11,0.0,2.26577891328E11,9.884196281433105,7.0,1.6763926561833665E-4,false,12.103,true
1030,1031,260.91742,-62.45758,4.12063244288E11,0.0,1.93893892096E11,4.836545944213867,4.0,1.3995561392793248E-4,false,12.103,true
1036,1037,280.73395,-62.45758,1.123350088192E12,1.8099133881905685,7.150338048E11,47.010128021240234,24.0,6.407606870994951E-5,false,48.3671,true
1104,1105,139.30435,-60.88372,1.90097895424E11,0.9049566940952842,2.86192795648E11,12.73136043548584,4.0,1.2122857401507976E-4,false,37.1524,true
1136,1137,239.47826,-60.88372,1.241119810176E12,0.0,6.42215968768E11,62.82953643798828,12.0,5.927284845519316E-5,false,47.0915,true
1137,1138,242.60869,-60.88372,1.96118803248E12,0.9049566940952842,1.05366552576E12,72.86437225341797,36.0,1.1723413973826075E-4,false,44.0873,true
1138,1139,245.73912,-60.88372,1.739719718528E12,0.0,3.61545826304E11,9.289859771728516,25.0,7.95694731879999E-5,false,38.3205,true
1152,1153,289.56522,-60.88372,1.7194472624E11,0.0,6.94602039296E11,17.980684280395508,11.0,1.1459970969113261E-4,false,49.5772,true
1199,1200,72.0,-59.30987,6.528613888E10,0.0,1.84718180352E11,11.981208801269531,6.0,1.6252701906949727E-4,false,13.0022,true
1259,1260,252.0,-59.30987,1.94293515264E11,0.0,2.0911529984E11,20.12641716003418,7.0,2.6266388141479136E-4,false,11.4912,true
1391,1392,277.92001,-57.73602,3.12896820736E11,0.0,2.55526043648E11,16.61236000061035,8.0,8.634956418304154E-5,false,19.7548,true
1410,1411,332.64001,-57.73602,3.2446018750109375E11,0.0,3.62025713664E11,18.883010864257812,8.0,1.7264385760468285E-4,false,18.4082,true
1523,1524,285.23077,-56.16217,1.64927426176E11,0.0,1.53172279296E11,8.32409954071045,9.0,9.68474191573325E-5,false,34.5901,true
1672,1673,324.26468,-54.58831,3.0959749632E10,0.0,3.095974912E10,4.437108993530273,2.0,1.3575687681079943E-4,false,8.5974,true
2023,2024,120.00001,-49.86675,2.69519412224E11,0.0,1.08712927232E11,3.4952476024627686,3.0,2.68468818331977E-4,true,13.3802,true
2055,2056,196.8,-49.86675,3.25047007744E11,0.0,8.3580051456E10,6.902955532073975,5.0,1.3208946349800994E-4,false,3.604,true
2259,2260,317.03226,-48.2929,1.04931700736E12,0.9049566940952842,5.27179251712E11,20.60987663269043,16.0,4.0419797630588254E-5,false,58.5439,true
2286,2287,18.0,-46.71905,2.000760177216E12,0.0,8.8363401216E11,51.1086311340332,30.0,4.320512374376595E-5,false,80.5082,true
2303,2304,56.25,-46.71905,8.5351561216E10,0.9049566940952842,9.3234716672E10,6.937498569488525,4.0,1.1287638551837102E-4,false,8.3176,true
2349,2350,159.75,-46.71905,2.198384343104E12,1.8099133881905685,1.749824569344E12,126.10803985595703,34.0,7.557911831534399E-5,false,35.0279,true
2406,2407,288.0,-46.71905,7.23075542784E11,0.0,5.91051620352E11,33.45084762573242,13.0,4.7742218347158975E-5,false,62.2477,true
2426,2427,333.0,-46.71905,3.97472746304E11,0.0,3.66508834816E11,13.318086624145508,8.0,7.376147492770636E-5,false,21.7002,true
2463,2464,55.97561,-45.1452,5.8098195456E10,1.8099133881905685,1.15101548544E11,6.2597455978393555,3.0,1.8623799418986855E-4,false,17.9243,true
2576,2577,304.02441,-45.1452,1.067995652384E12,0.0,1.102755397632E12,51.46397399902344,24.0,8.812040308501577E-5,false,34.0639,true
2675,2676,156.42857,-43.57134,2.80618994688E11,1.7803443288164598,3.58308184064E11,68.91661071777344,6.0,1.6476332963072477E-4,false,35.3227,true
2696,2697,201.42856,-43.57134,4.09613248512E11,0.0,5.69658310656E11,45.86701202392578,10.0,0.0019597201806017526,false,3.5216,true
2704,2705,218.57143,-43.57134,1.66474029312E11,2.6705164932246896,1.6602456064E11,13.79716968536377,5.0,5.408788387866558E-4,false,16.9044,true
2764,2765,347.14285,-43.57134,4.87551591552E11,0.8901721644082299,3.59183417344E11,28.336225509643555,9.0,6.653364098748101E-5,false,11.7106,true
2862,2863,192.48555,-41.99749,6.96976985848E11,0.0,9.99194886144E11,73.32038879394531,31.0,8.249564888000526E-5,false,34.6754,true
2938,2939,350.63583,-41.99749,1.7454020608E11,0.0,2.63133331456E11,29.828323364257812,5.0,1.8363774856393757E-4,false,20.9642,true
3020,3021,156.61017,-40.42364,5.96705288448E11,0.855186793661691,3.93149284352E11,16.907470703125,9.0,7.989435924563639E-5,false,31.9048,true
3036,3037,189.15254,-40.42364,3.2203587168E11,0.855186793661691,3.70705432576E11,21.219497680664062,12.0,1.1686625812243912E-4,false,28.8563,true
3037,3038,191.18645,-40.42364,1.003745092096E12,0.0,5.3330444288E11,17.154062271118164,23.0,1.0651520433457897E-4,false,33.7852,true
3038,3039,193.22034,-40.42364,3.373185984E11,0.855186793661691,4.58433626112E11,16.400203704833984,17.0,8.034994895080872E-5,false,36.7801,true
3112,3113,343.72882,-40.42364,9.76023692448E11,0.855186793661691,4.72752848896E11,31.621801376342773,9.0,6.894980462540655E-5,false,11.4815,true
3313,3314,23.47826,-37.27593,1.17017333248E12,0.817705804639942,1.403962261504E12,83.83335876464844,17.0,3.813056899665958E-5,false,66.464,true
3327,3328,50.86956,-37.27593,4.8933801472E11,0.0,2.1208948736E11,5.57594633102417,6.0,1.222067791321442E-4,false,21.9875,true
3352,3353,99.78261,-37.27593,1.603174057984E12,0.0,1.359960604672E12,243.47000122070312,19.0,5.2173463612206605E-5,false,123.5384,true
3355,3356,105.65218,-37.27593,1.351289020416E12,0.817705804639942,1.09325418496E12,41.57411193847656,19.0,2.5664043217226906E-5,false,75.1799,true
3477,3478,344.34784,-37.27593,4.8201161248E11,3.270823218559768,2.07361376256E11,9.859481811523438,7.0,1.2168585082306762E-4,false,15.093,true
3499,3500,27.76596,-35.70208,1.032524994524E12,0.7983597157375337,8.91793506304E11,59.53321838378906,22.0,2.986435537117882E-5,false,66.4297,true
3512,3513,52.65958,-35.70208,1.737740624E11,0.0,3.34200406016E11,35.15915298461914,5.0,4.5777097158357095E-4,false,18.1534,true
3513,3514,54.57447,-35.70208,3.88592423744E11,0.0,5.115992064E10,1.9276580810546875,2.0,7.047901343432761E-5,false,15.9129,true
3542,3543,110.10638,-35.70208,1.383443187712E12,0.0,8.38691913728E11,26.300386428833008,13.0,3.899561316386528E-5,false,30.6085,true
3669,3670,353.29788,-35.70208,1.25447753984E11,0.0,1.21492267008E11,5.427750110626221,3.0,2.4320668212026456E-6,false,141.906,true
3684,3685,20.625,-34.12823,5.63684815936E11,0.0,6.70424694784E11,47.599151611328125,23.0,5.129893906184826E-5,false,44.9187,true
3687,3688,26.25,-34.12823,8.19279681792E11,0.0,8.22145056768E11,62.39384460449219,17.0,3.0122409944830798E-5,false,50.4544,true
3719,3720,86.25,-34.12823,4.73224342528E11,0.7787859704243641,5.16247322624E11,24.07595443725586,10.0,6.27476127293259E-5,false,12.1767,true
3722,3723,91.875,-34.12823,7.85149271904E11,1.5575719408487283,8.48324395008E11,71.17144012451172,19.0,3.14936866310367E-5,false,63.2118,true
3782,3783,204.375,-34.12823,1.6411996864E11,0.0,6.2246289408E11,40.823219299316406,12.0,5.312699392787705E-5,false,22.2807,true
3869,3870,8.30769,-32.55437,1.45155141185E11,0.7591116159915242,1.83669571584E11,12.48707389831543,5.0,1.6371361561014092E-4,false,17.6673,true
3875,3876,19.38461,-32.55437,6.35346028096E11,3.795558079957621,8.28398436352E11,63.25448226928711,30.0,5.30631914386164E-5,false,48.6457,true
3956,3957,168.92308,-32.55437,5.48150765568E11,0.7591116159915242,1.15568631808E11,4.02733850479126,4.0,2.6855068463388105E-4,false,7.2086,true
3973,3974,200.30769,-32.55437,8.22185017088E11,0.0,4.16826753024E11,14.51959228515625,10.0,5.561406381578235E-5,false,33.6756,true
3977,3978,207.69231,-32.55437,8.5674779392E11,0.0,7.37842233344E11,35.05440902709961,27.0,2.3342358752973524E-5,false,51.745,true
3979,3980,211.38461,-32.55437,1.100833024384E12,0.7591116159915242,1.822877024256E12,101.0635757446289,26.0,3.494477835180904E-5,false,60.6486,true
4059,4060,359.0769,-32.55437,3.322874545521875E10,0.0,1.73661126656E11,10.029064178466797,5.0,3.205320681191171E-4,false,3.4308,true
4070,4071,18.18182,-30.98052,1.101518724352E12,0.0,8.36571037696E11,50.24036407470703,31.0,6.0836748157274975E-5,true,68.0601,true
4083,4084,41.81818,-30.98052,1.238436627072E12,1.478914797359917,5.70568081408E11,25.26359748840332,15.0,2.249071982277646E-4,false,15.4532,true
4141,4142,147.27274,-30.98052,3.66480890624E11,0.0,2.76436189184E11,13.373757362365723,4.0,2.3186435707379713E-4,false,11.4592,true
4174,4175,207.27274,-30.98052,8.85654213248E11,0.7394573986799585,7.65575102464E11,32.393341064453125,31.0,7.59954217349237E-5,true,51.2861,true
4177,4178,212.72728,-30.98052,9.56319626712125E11,1.478914797359917,3.65563609088E11,21.10946273803711,10.0,6.483904073216751E-5,false,49.4311,true
4271,4272,24.17911,-29.40667,3.44611659776E11,2.159805783874494,5.83540867072E11,33.729827880859375,6.0,1.3567795393473864E-4,false,25.7473,true
4319,4320,110.14926,-29.40667,3.35564217856E11,0.7199352612914981,3.12026628096E11,15.689081192016602,6.0,8.434942611220883E-5,false,31.0456,true
4370,4371,201.49254,-29.40667,3.91701628224E11,0.0,8.93980311552E11,84.05130004882812,21.0,4.014474136306337E-5,false,56.4582,true
4516,4517,100.58823,-27.83282,2.36785143424E11,0.0,1.96538597376E11,13.541793823242188,5.0,1.1255988673527623E-4,false,25.4919,true
4549,4550,158.82353,-27.83282,1.023667621504E12,1.401295133720857,1.556716191744E12,92.4070053100586,53.0,1.2620088064546213E-4,true,31.404,true
4550,4551,160.58824,-27.83282,3.87405568128E11,1.401295133720857,5.72558344192E11,35.12718200683594,12.0,6.158805735703577E-5,false,26.1818,true
4574,4575,202.94118,-27.83282,2.750541681408E12,0.7006475668604285,2.49738952704E12,132.80484008789062,45.0,3.419759888849753E-5,false,43.3444,true
4627,4628,296.47058,-27.83282,1.114116172288E12,0.0,5.26762115072E11,17.114484786987305,18.0,5.301945400503225E-5,false,71.1046,true
4661,4662,356.47058,-27.83282,3.085252513792E12,1.401295133720857,1.090170519552E12,47.16073226928711,41.0,2.7201893316284595E-5,true,97.7237,true
4749,4750,150.43478,-26.25896,3.65898918E10,0.0,3.6567887872E10,0.4071046710014343,1.0,7.538741032785658E-6,false,43.6259,true
4754,4755,159.13043,-26.25896,6.06411933312E11,0.6816860334470674,5.86910859264E11,50.2257080078125,29.0,4.1017745735394156E-5,false,39.0287,true
4857,4858,338.26086,-26.25896,6.83694277376E11,0.6816860334470674,3.08053311488E11,28.390613555908203,9.0,7.824815108195053E-5,false,17.3821,true
4877,4878,12.0,-24.68511,6.5614585856E10,1.9893954272842436,1.64725686272E11,13.962545394897461,3.0,0.0046373833901477484,false,3.5279,true
4989,4990,204.0,-24.68511,6.49085477376E11,1.3262636181894958,8.94777294848E11,71.4472885131836,20.0,2.640498076804266E-5,false,34.9635,true
5021,5022,258.85715,-24.68511,2.271800392704E12,0.0,1.383442153472E12,126.42003631591797,12.0,3.865228339765521E-5,true,104.9699,true
5067,5068,337.71429,-24.68511,1.594021094272E12,0.0,5.9889778688E11,35.038551330566406,23.0,3.823194127497607E-5,false,61.0183,true
5082,5083,4.24528,-23.11126,2.83917137024E11,0.0,1.19838670848E11,13.25446605682373,2.0,8.276078005936801E-6,false,90.1894,true
5093,5094,22.92453,-23.11126,2.75965184192E11,0.0,1.991131136E11,8.31760025024414,10.0,6.934961129179178E-5,false,19.1112,true
5106,5107,45.0,-23.11126,4.14248417216E11,0.0,5.36911937536E11,30.33257484436035,9.0,6.995994761477372E-5,false,20.3346,true
5231,5232,257.26416,-23.11126,3.846580711936E12,0.0,1.39569528832E12,86.15235137939453,36.0,3.6322823914661664E-5,true,96.4986,true
5232,5233,258.96228,-23.11126,3.384585366016E12,0.0,1.61427685376E12,113.19673156738281,33.0,4.949954312325666E-5,true,102.61,true
5267,5268,318.39624,-23.11126,1.879995136E12,0.0,1.28511705088E12,80.51646423339844,24.0,2.5130235107110438E-5,false,92.3485,true
5313,5314,35.3271,-21.53741,4.58941971264E11,0.0,1.89106601984E11,17.11618423461914,5.0,1.387642550628344E-4,false,17.9448,true
5324,5325,53.83178,-21.53741,1.17149355392E11,0.0,2.72059236352E11,30.938674926757812,8.0,8.29268313581849E-5,false,19.2474,true
5348,5349,94.2056,-21.53741,2.92964731648E11,1.2550278956243868,2.89018413056E11,23.676828384399414,6.0,1.560300849152187E-4,false,35.4813,true
5375,5376,139.62617,-21.53741,4.7752916992E10,0.0,5.7652109312E10,3.738801956176758,2.0,1.5346544092344728E-4,false,9.2431,true
5985,5986,71.18182,-16.81585,1.150754241024E12,1.735658658584864,9.31872571392E11,51.56126022338867,22.0,3.2668577890071326E-5,false,38.1833,true
6134,6135,315.0,-16.81585,9.05170598912E11,2.3142115447798184,8.38415548416E11,67.78321838378906,14.0,4.454626387648333E-5,false,19.6626,true
6187,6188,40.54054,-15.242,1.322506320384E12,0.0,6.59057672192E11,39.49748992919922,20.0,3.6534824156772185E-5,false,41.4954,true
6206,6207,71.35135,-15.242,1.242695376896E12,0.0,1.215760564224E12,74.07644653320312,23.0,2.2064071536375853E-5,false,126.3084,true
